Año,Mes,TasaInteres
2015,Enero,13.60%
2015,Febrero,13.48%
2015,Marzo,13.37%
2015,Abril,13.29%
2015,Mayo,13.21%
2015,Junio,13.15%
2015,Julio,13.12%
2015,Agosto,13.09%
2015,Septiembre,13.13%
2015,Octubre,13.12%
2015,Noviembre,13.12%
2015,Diciembre,13.06%
2016,Enero,13.08%
2016,Febrero,13.07%
2016,Marzo,13.11%
2016,Abril,13.13%
2016,Mayo,13.15%
2016,Junio,13.14%
2016,Julio,13.11%
2016,Agosto,13.10%
2016,Septiembre,13.12%
2016,Octubre,13.10%
2016,Noviembre,13.08%
2016,Diciembre,13.03%
2017,Enero,13.05%
2017,Febrero,13.05%
2017,Marzo,13.08%
2017,Abril,13.08%
2017,Mayo,13.04%
2017,Junio,13.05%
2017,Julio,13.06%
2017,Agosto,13.06%
2017,Septiembre,13.05%
2017,Octubre,13.08%
2017,Noviembre,13.05%
2017,Diciembre,13.00%
2018,Enero,13.07%
2018,Febrero,13.05%
2018,Marzo,13.01%
2018,Abril,13.02%
2018,Mayo,12.98%
2018,Junio,12.94%
2018,Julio,12.96%
2018,Agosto,12.92%
2018,Septiembre,12.87%
2018,Octubre,12.85%
2018,Noviembre,12.81%
2018,Diciembre,12.72%
2019,Enero,12.74%
2019,Febrero,12.77%
2019,Marzo,12.79%
2019,Abril,12.75%
2019,Mayo,12.74%
2019,Junio,12.75%
2019,Julio,12.77%
2019,Agosto,12.79%
2019,Septiembre,12.78%
2019,Octubre,12.70%
2019,Noviembre,12.67%
2019,Diciembre,12.64%
2020,Enero,12.65%
2020,Febrero,12.68%
2020,Marzo,12.64%
2020,Abril,12.62%
2020,Mayo,12.66%
2020,Junio,12.65%
2020,Julio,12.46%
2020,Agosto,12.48%
2020,Septiembre,12.48%
2020,Octubre,12.33%
2020,Noviembre,12.32%
2020,Diciembre,12.33%
2021,Enero,12.34%
2021,Febrero,12.32%
2021,Marzo,12.32%
2021,Abril,12.28%
2021,Mayo,12.25%
2021,Junio,12.24%
2021,Julio,12.14%
2021,Agosto,12.14%
2021,Septiembre,12.16%
2021,Octubre,12.13%
2021,Noviembre,12.02%
2021,Diciembre,11.92%
2022,Enero,11.92%
2022,Febrero,11.92%
2022,Marzo,11.95%
2022,Abril,11.93%
2022,Mayo,11.94%
2022,Junio,11.98%
2022,Julio,11.98%
2022,Agosto,12.02%
2022,Septiembre,11.94%
2022,Octubre,11.84%
2022,Noviembre,11.83%
2022,Diciembre,11.83%